id;label;abbreviation;definition;reference;broader;;
" ""entity2"" ";" ""DWVA Entity"" ";;" ""An entity is anything that can be found and that could be reported in the context of Dark Web & Virtual Assets investigations."" ";;;;
" ""defi"" ";" ""Decentralized Finances"" ";"  ""DeFI"" ";"""Smart Contracts on blockchains, DApps, mainly via the Ethereum technology and network. They are used to provide traditional financial services. The technology provides strong immunity against attackers and some level of anonymity and privacy. Transactions are confirmed relatively fast, but mostly lack KYC and AML compliance controls and offer limited to no user support and customer care. Current DeFi innovations include: Lending platforms; Prediction markets; Decentralised Exchange (DEXs); Staking and pooling platforms. """;;  service ;;
" ""dex"" ";" ""Decentralized Exchange"" ";"  ""DEX"" ";" ""Same as exchange but in a completely distributed environment. There is no central hosting server and all nodes are servers."" ";;  service ; ;
" ""ico"" ";" ""Initial Coin Offering / Initial Crypto-Tokens Offering"" ";"  ""ICO"" ";" ""Initial Coin Offerings (ICO) are public offers of  new cryptocurrencies in exchange of existing ones, aimed to  finance projects in the blockchain development arena. The typical pattern is for a startup to produce a white paper that describes their business model and technical approach. The white paper includes details about the functions that the tokens issued during the ICO will perform and the process of token creation."" ";;  service ; ;
" ""irc"" ";" ""Internet Relay Chat"" ";"  ""IRC"" ";" ""A text-based chat service enabling users connected to a server to communicate with each other in real-time. "" ";;  service ; ;
" ""XMR"" ";" ""Monero"" ";"  ""XMR"" ";" ""An open-source cryptocurrency created in April 2014 that focuses on fungibility, privacy and decentralization. Monero (XMR) uses an obfuscated public ledger, meaning anybody can broadcast or send transactions, but no outside observer can tell the source, amount or destination. "" ";;  cryptocurrency ; ;
" ""ETH"" ";" ""Ethereum"" ";"  ""ETH"" ";" ""Ethereum is a decentralized, open-source blockchain with smart contract functionality. Ether (ETH) is the native cryptocurrency of the platform. It is the second-largest cryptocurrency by market capitalization, after Bitcoin. Ethereum is the most actively used blockchain. "" ";;  cryptocurrency ; ;
" ""ZEC"" ";" ""Zcash"" ";"  ""ZEC"" ";" ""A cryptocurrency with a decentralized Blockchain that provides anonymity for its users and their transactions. It is similar to Bitcoin as an open-source, but their major differences are the increased level of privacy it provides. "" ";;  cryptocurrency ; ;
" ""BTC"" ";" ""Bitcoin"" ";"  ""BTC"" ";" ""Bitcoin is a network protocol based on blockchain, introduced by Nakamoto [11] which allows payments and coin transfers to be made among participating entities. No trusted"" ";;  cryptocurrency ; ;
" ""BNB"" ";" ""Binance Coin"" ";"  ""BNB"" ";" ""BNB powers the Binance Ecosystem. As the native coin of Binance Chain, BNB has multiple use cases: fueling transactions on the Chain, paying for transaction fees on Binance Exchange, making in-store payments, and many more."" ";;  cryptocurrency ; ;
" ""DOGE"" ";" ""Dogecoin"" ";"  ""DOGE"" ";" ""Dogecoin (code: DOGE, symbol: Ð) is a cryptocurrency created by software engineers Billy Markus and Jackson Palmer, who decided to create a payment system that is instant, fun, and free from traditional banking fees."" ";;  cryptocurrency ; ;
" ""XRP"" ";" ""Ripple"" ";"  ""XRP"" ";" ""Ripple is a real-time gross settlement system, currency exchange and remittance network created by Ripple Labs Inc., a US-based technology company. (...)  The ledger employs the native cryptocurrency known as XRP."" ";;  cryptocurrency ; ;
" ""USDT"" ";" ""Tether"" ";"  ""USDT"" ";" ""Tether is a controversial cryptocurrency with tokens issued by Tether Limited. It formerly falsely claimed that each token was backed by one United States dollar, but on 14 March 2019 changed the backing to include loans to affiliate companies."" ";;  cryptocurrency ; ;
" ""ADA"" ";" ""Cardano"" ";"  ""ADA"" ";" ""Cardano is a public blockchain platform. It is open source and decentralized, with consensus achieved using proof of stake. It can facilitate peer-to-peer transactions with its internal cryptocurrency Ada."" ";;  cryptocurrency ; ;
" ""DOT"" ";" ""Polkadot"" ";"  ""DOT"" ";" ""Polkadot is a heterogeneous multi-chain interchange and translation architecture which enables customised side-chains to connect with public blockchains."" ";;  cryptocurrency ; ;
" ""BCH"" ";" ""Bitcoin cash"" ";"  ""BCH"" ";" ""Bitcoin Cash is a cryptocurrency that is a fork of Bitcoin. Bitcoin Cash is a spin-off or altcoin that was created in 2017."" ";;  cryptocurrency ; ;
" ""LTC"" ";" ""Litecoin"" ";"  ""LTC"" ";" ""Litecoin (LTC or Ł) is a peer-to-peer cryptocurrency and open-source software project released under the MIT/X11 license. Litecoin was an early bitcoin spinoff or altcoin, starting in October 2011. In technical details, Litecoin is nearly identical to Bitcoin."" ";;  cryptocurrency ; ;
" ""dapp_–_decentralized_apps"" ";" ""Decentralized Apps"" ";"  ""DApp"" ";" ""An application that does not rely on a central server but on several decentralized nodes. Each user can choose to be an active node serving the app. "" ";;  infrastructure ; ;
" ""fe_finalize_early"" ";" ""Finalize Early"" ";"  ""FE"" ";" ""Buyers may \""finalize early\"" (FE), releasing funds from escrow to the vendor prior to receiving their goods in order to expedite a transaction. This can be done when there is a trust relationship between vendor and buyer, however it does leave the buyer vulnerable to fraud if they choose to do so."" ";;  process ; ;
